Date,Description,Type,State,City,IsOptional
01/01/2025 00:00:00,Ano Novo,National,,,False
03/03/2025 00:00:00,Carnaval,National,,,True
03/04/2025 00:00:00,Carnaval,National,,,True
03/05/2025 00:00:00,Carnaval,National,,,True
04/18/2025 00:00:00,Sexta-Feira Santa,National,,,False
04/21/2025 00:00:00,Dia de Tiradentes,National,,,False
05/01/2025 00:00:00,Dia do Trabalho,National,,,False
06/19/2025 00:00:00,Corpus Christi,National,,,True
09/07/2025 00:00:00,Independência do Brasil,National,,,False
10/12/2025 00:00:00,Nossa Senhora Aparecida,National,,,False
10/15/2025 00:00:00,Dia do Professor,National,,,True
10/28/2025 00:00:00,Dia do Servidor Público,National,,,True
11/02/2025 00:00:00,Dia de Finados,National,,,False
11/15/2025 00:00:00,Proclamação da República,National,,,False
11/20/2025 00:00:00,Consciência Negra,National,,,False
12/25/2025 00:00:00,Natal,National,,,False
01/24/2025 00:00:00,Dia do Evangélico,State,AC,,False
03/08/2025 00:00:00,Dia da Mulher,State,AC,,False
04/21/2025 00:00:00,Dia de Tiradentes,State,AC,,False
06/15/2025 00:00:00,Aniversário do Acre,State,AC,,False
08/06/2025 00:00:00,Revolução Acreana,State,AC,,False
09/05/2025 00:00:00,Dia da Amazônia,State,AC,,False
10/15/2025 00:00:00,Dia do Professor,State,AC,,True
10/28/2025 00:00:00,Dia do Servidor Público,State,AC,,True
11/21/2025 00:00:00,Tratado de Petrópolis,State,AC,,True
01/23/2025 00:00:00,Feriado Municipal,City,AC,acrelandia,False
01/24/2025 00:00:00,Dia do Evangélico,City,AC,acrelandia,False
03/08/2025 00:00:00,Dia da Mulher,City,AC,acrelandia,False
04/21/2025 00:00:00,Dia de Tiradentes,City,AC,acrelandia,False
04/28/2025 00:00:00,Feriado Municipal,City,AC,acrelandia,False
06/15/2025 00:00:00,Aniversário do Acre,City,AC,acrelandia,False
08/06/2025 00:00:00,Revolução Acreana,City,AC,acrelandia,False
09/05/2025 00:00:00,Dia da Amazônia,City,AC,acrelandia,False
09/06/2025 00:00:00,Feriado Municipal,City,AC,acrelandia,False
10/15/2025 00:00:00,Dia do Professor,City,AC,acrelandia,True
10/28/2025 00:00:00,Dia do Servidor Público,City,AC,acrelandia,True
11/21/2025 00:00:00,Tratado de Petrópolis,City,AC,acrelandia,True
01/23/2025 00:00:00,Feriado Municipal,City,AC,assis brasil,False
01/24/2025 00:00:00,Dia do Evangélico,City,AC,assis brasil,False
03/08/2025 00:00:00,Dia da Mulher,City,AC,assis brasil,False
04/21/2025 00:00:00,Dia de Tiradentes,City,AC,assis brasil,False
05/14/2025 00:00:00,Feriado Municipal,City,AC,assis brasil,False
05/31/2025 00:00:00,Feriado Municipal,City,AC,assis brasil,False
06/15/2025 00:00:00,Aniversário do Acre,City,AC,assis brasil,False
08/06/2025 00:00:00,Revolução Acreana,City,AC,assis brasil,False
08/15/2025 00:00:00,Feriado Municipal,City,AC,assis brasil,False
09/05/2025 00:00:00,Dia da Amazônia,City,AC,assis brasil,False
10/15/2025 00:00:00,Dia do Professor,City,AC,assis brasil,True
10/28/2025 00:00:00,Dia do Servidor Público,City,AC,assis brasil,True
11/21/2025 00:00:00,Tratado de Petrópolis,City,AC,assis brasil,True
01/23/2025 00:00:00,Feriado Municipal,City,AC,brasileia,False
01/24/2025 00:00:00,Dia do Evangélico,City,AC,brasileia,False
03/08/2025 00:00:00,Dia da Mulher,City,AC,brasileia,False
04/21/2025 00:00:00,Dia de Tiradentes,City,AC,brasileia,False
06/15/2025 00:00:00,Aniversário do Acre,City,AC,brasileia,False
07/03/2025 00:00:00,Feriado Municipal,City,AC,brasileia,False
08/06/2025 00:00:00,Revolução Acreana,City,AC,brasileia,False
09/05/2025 00:00:00,Dia da Amazônia,City,AC,brasileia,False
09/06/2025 00:00:00,Feriado Municipal,City,AC,brasileia,False
10/15/2025 00:00:00,Dia do Professor,City,AC,brasileia,True
10/28/2025 00:00:00,Dia do Servidor Público,City,AC,brasileia,True
11/21/2025 00:00:00,Tratado de Petrópolis,City,AC,brasileia,True
01/23/2025 00:00:00,Feriado Municipal,City,AC,bujari,False
01/24/2025 00:00:00,Dia do Evangélico,City,AC,bujari,False
03/08/2025 00:00:00,Dia da Mulher,City,AC,bujari,False
04/21/2025 00:00:00,Dia de Tiradentes,City,AC,bujari,False
06/15/2025 00:00:00,Aniversário do Acre,City,AC,bujari,False
08/06/2025 00:00:00,Revolução Acreana,City,AC,bujari,False
09/05/2025 00:00:00,Dia da Amazônia,City,AC,bujari,False
